
NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
Alexis Jamie Aguilar Soto,21,5,"Avenida Madero, Colonia Lomas de San Francisco, Ciudad Obregón, Sonora",815701166
Materia,Calificacion
Algebra,10
Calculo y Geometria Analitica,7
Quimica,8
Fundamentos de Fisica,6
Fundamentos de Programacion,6
Algebra Lineal,8
Calculo Integral,9
Mecanica,8
Redaccion y Exposicion de Temas de Ingenieria,5
Estructura de Datos y Algoritmos I,6
Probabilidad,8
Calculo Vectorial,6
Ecuaciones Diferenciales,9
Programacion Orientada a Objetos,7
Estructuras de Datos y Algoritmos II,7
Fundamentos de Estadistica,7
Electricidad y Magnetismo,8
Analisis Numerico,5
Matematicas Avanzadas,6
Estructuras Discretas,9
Estructura y Programacion de Computadoras,8
Dispositivos Electronicos,8
Lenguajes Formales y Automatas,7
Se�ales y Sistemas,7
Ingenieria en Software,5

NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
Hayden Riley Morales Salazar,27,7,"Avenida Mariano Matamoros, Colonia Las Brisas, Toluca, Estado de México",737840927
Materia,Calificacion
Algebra,6
Calculo y Geometria Analitica,7
Quimica,9
Fundamentos de Fisica,6
Fundamentos de Programacion,6
Algebra Lineal,9
Calculo Integral,8
Mecanica,9
Redaccion y Exposicion de Temas de Ingenieria,9
Estructura de Datos y Algoritmos I,7
Probabilidad,5
Calculo Vectorial,5
Ecuaciones Diferenciales,9
Programacion Orientada a Objetos,7
Estructuras de Datos y Algoritmos II,9
Fundamentos de Estadistica,10
Electricidad y Magnetismo,5
Analisis Numerico,5
Matematicas Avanzadas,8
Estructuras Discretas,7
Estructura y Programacion de Computadoras,10
Dispositivos Electronicos,9
Lenguajes Formales y Automatas,8
Se�ales y Sistemas,8
Ingenieria en Software,7
Sistemas Operativos,8
Dise�o Digital Moderno,9
Bases de Datos,8
Circuitos Electricos,8
Administracion de Proyectos de Software,9
Finanzas en la Ingenieria en Computacion,9
Dise�o Digital VLSI,9
Inteligencia Artificial,8
Compiladores,6
Sistemas de Comunicaciones,5

NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
Quinn Taylor Rivas Navarro,18,3,"Calle 16 de Septiembre, Colonia La Aurora, Querétaro, Querétaro",780400276
Materia,Calificacion
Algebra,9
Calculo y Geometria Analitica,9
Quimica,8
Fundamentos de Fisica,10
Fundamentos de Programacion,5
Algebra Lineal,9
Calculo Integral,9
Mecanica,6
Redaccion y Exposicion de Temas de Ingenieria,7
Estructura de Datos y Algoritmos I,9
Probabilidad,8
Calculo Vectorial,9
Ecuaciones Diferenciales,6
Programacion Orientada a Objetos,8
Estructuras de Datos y Algoritmos II,7

NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
Skylar Espinosa Mendoza,24,9,"Calle Morelos, Colonia Los Alamos, Puebla, Puebla",551136204
Materia,Calificacion
Algebra,9
Calculo y Geometria Analitica,8
Quimica,8
Fundamentos de Fisica,6
Fundamentos de Programacion,5
Algebra Lineal,8
Calculo Integral,7
Mecanica,8
Redaccion y Exposicion de Temas de Ingenieria,10
Estructura de Datos y Algoritmos I,9
Probabilidad,5
Calculo Vectorial,10
Ecuaciones Diferenciales,6
Programacion Orientada a Objetos,7
Estructuras de Datos y Algoritmos II,10
Fundamentos de Estadistica,7
Electricidad y Magnetismo,10
Analisis Numerico,9
Matematicas Avanzadas,9
Estructuras Discretas,8
Estructura y Programacion de Computadoras,8
Dispositivos Electronicos,8
Lenguajes Formales y Automatas,6
Se�ales y Sistemas,7
Ingenieria en Software,6
Sistemas Operativos,5
Dise�o Digital Moderno,6
Bases de Datos,6
Circuitos Electricos,5
Administracion de Proyectos de Software,6
Finanzas en la Ingenieria en Computacion,7
Dise�o Digital VLSI,10
Inteligencia Artificial,8
Compiladores,5
Sistemas de Comunicaciones,8
Optativa de Ciencias Sociales y Humanidades,5
Microcomputadoras,8
Computacion Grafica e Interaccion Humano-Computadora,6
Etica Profesional,8
Redes de Datos Seguras,9
Organizacion y Arquitectura de Computadoras,5
Fundamentos de Sistemas Embebidos,9
Sistemas Distribuidos,7
Optativa de Campo de Profundizacion I,7
Recursos y Necesidades de Mexico,7

NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
