
NombreCompleto,Edad,SemestreEnCurso,Direccion,NumCuenta
Quinn Morales Silva,24,7,"Calle Allende, Colonia Centro, Colima, Colima",292275068
Materia,Calificacion
Algebra,5 Indicador ecolar: 0.0
Calculo y Geometria Analitica,9 Indicador ecolar: 0.0
Quimica,9 Indicador ecolar: 0.0
Fundamentos de Fisica,8 Indicador ecolar: 0.0
Fundamentos de Programacion,8 Indicador ecolar: 0.0
Algebra Lineal,6 Indicador ecolar: 0.0
Calculo Integral,10 Indicador ecolar: 0.0
Mecanica,7 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,8 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,7 Indicador ecolar: 0.0
Probabilidad,10 Indicador ecolar: 0.0
Calculo Vectorial,10 Indicador ecolar: 0.0
Ecuaciones Diferenciales,9 Indicador ecolar: 0.0
Programacion Orientada a Objetos,6 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,9 Indicador ecolar: 0.0
Fundamentos de Estadistica,7 Indicador ecolar: 0.0
Electricidad y Magnetismo,7 Indicador ecolar: 0.0
Analisis Numerico,5 Indicador ecolar: 0.0
Matematicas Avanzadas,9 Indicador ecolar: 0.0
Estructuras Discretas,7 Indicador ecolar: 0.0
Estructura y Programacion de Computadoras,9 Indicador ecolar: 0.0
Dispositivos Electronicos,10 Indicador ecolar: 0.0
Lenguajes Formales y Automatas,7 Indicador ecolar: 0.0
Se�ales y Sistemas,8 Indicador ecolar: 0.0
Ingenieria en Software,10 Indicador ecolar: 0.0
Sistemas Operativos,6 Indicador ecolar: 0.0
Dise�o Digital Moderno,9 Indicador ecolar: 0.0
Bases de Datos,5 Indicador ecolar: 0.0
Circuitos Electricos,6 Indicador ecolar: 0.0
Administracion de Proyectos de Software,10 Indicador ecolar: 0.0
Finanzas en la Ingenieria en Computacion,6 Indicador ecolar: 0.0
Dise�o Digital VLSI,6 Indicador ecolar: 0.0
Inteligencia Artificial,6 Indicador ecolar: 0.0
Compiladores,7 Indicador ecolar: 0.0
Sistemas de Comunicaciones,7 Indicador ecolar: 0.0
Avery Avery Munoz Peralta,20,3,"Avenida Insurgentes, Colonia Lomas de Angelópolis, Puebla, Puebla",975775497
Materia,Calificacion
Algebra,10 Indicador ecolar: 0.0
Calculo y Geometria Analitica,10 Indicador ecolar: 0.0
Quimica,6 Indicador ecolar: 0.0
Fundamentos de Fisica,8 Indicador ecolar: 0.0
Fundamentos de Programacion,7 Indicador ecolar: 0.0
Algebra Lineal,7 Indicador ecolar: 0.0
Calculo Integral,9 Indicador ecolar: 0.0
Mecanica,8 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,10 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,8 Indicador ecolar: 0.0
Probabilidad,9 Indicador ecolar: 0.0
Calculo Vectorial,8 Indicador ecolar: 0.0
Ecuaciones Diferenciales,7 Indicador ecolar: 0.0
Programacion Orientada a Objetos,7 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,10 Indicador ecolar: 0.0
Avery Diaz Valenzuela,22,5,"Calle Cuauhtémoc, Colonia Los Pinos, Ciudad de México",739460646
Materia,Calificacion
Algebra,7 Indicador ecolar: 0.0
Calculo y Geometria Analitica,5 Indicador ecolar: 0.0
Quimica,5 Indicador ecolar: 0.0
Fundamentos de Fisica,10 Indicador ecolar: 0.0
Fundamentos de Programacion,10 Indicador ecolar: 0.0
Algebra Lineal,8 Indicador ecolar: 0.0
Calculo Integral,7 Indicador ecolar: 0.0
Mecanica,7 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,7 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,6 Indicador ecolar: 0.0
Probabilidad,10 Indicador ecolar: 0.0
Calculo Vectorial,6 Indicador ecolar: 0.0
Ecuaciones Diferenciales,6 Indicador ecolar: 0.0
Programacion Orientada a Objetos,9 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,8 Indicador ecolar: 0.0
Fundamentos de Estadistica,10 Indicador ecolar: 0.0
Electricidad y Magnetismo,5 Indicador ecolar: 0.0
Analisis Numerico,8 Indicador ecolar: 0.0
Matematicas Avanzadas,5 Indicador ecolar: 0.0
Estructuras Discretas,8 Indicador ecolar: 0.0
Estructura y Programacion de Computadoras,8 Indicador ecolar: 0.0
Dispositivos Electronicos,10 Indicador ecolar: 0.0
Lenguajes Formales y Automatas,10 Indicador ecolar: 0.0
Se�ales y Sistemas,7 Indicador ecolar: 0.0
Ingenieria en Software,10 Indicador ecolar: 0.0
Cameron Casey Jimenez Perez,21,2,"Avenida Benito Juárez, Colonia Las Haciendas, Tijuana, Baja California",055702479
Materia,Calificacion
Algebra,8 Indicador ecolar: 0.0
Calculo y Geometria Analitica,10 Indicador ecolar: 0.0
Quimica,7 Indicador ecolar: 0.0
Fundamentos de Fisica,8 Indicador ecolar: 0.0
Fundamentos de Programacion,10 Indicador ecolar: 0.0
Algebra Lineal,5 Indicador ecolar: 0.0
Calculo Integral,8 Indicador ecolar: 0.0
Mecanica,6 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,8 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,10 Indicador ecolar: 0.0
Skylar Soto Perez,19,3,"Avenida Hidalgo, Colonia Del Valle, Tijuana, Baja California",807215649
Materia,Calificacion
Algebra,9 Indicador ecolar: 0.0
Calculo y Geometria Analitica,8 Indicador ecolar: 0.0
Quimica,5 Indicador ecolar: 0.0
Fundamentos de Fisica,8 Indicador ecolar: 0.0
Fundamentos de Programacion,8 Indicador ecolar: 0.0
Algebra Lineal,5 Indicador ecolar: 0.0
Calculo Integral,10 Indicador ecolar: 0.0
Mecanica,7 Indicador ecolar: 0.0
Redaccion y Exposicion de Temas de Ingenieria,5 Indicador ecolar: 0.0
Estructura de Datos y Algoritmos I,9 Indicador ecolar: 0.0
Probabilidad,7 Indicador ecolar: 0.0
Calculo Vectorial,8 Indicador ecolar: 0.0
Ecuaciones Diferenciales,5 Indicador ecolar: 0.0
Programacion Orientada a Objetos,10 Indicador ecolar: 0.0
Estructuras de Datos y Algoritmos II,6 Indicador ecolar: 0.0
Casey Castro Gonzalez,23,6,"Avenida Ocampo, Colonia El Pueblito, Querétaro, Querétaro",824288518
Materia,Calificacion
Algebra,8 Indicador ecolar: 0.0
Calculo y Geometria Analitica,5 Indicador ecolar: 0.0
